firm_name,twitter_screen_name
HUNTING PLC ,HuntingPlc
HARBOURVEST GLOBAL PRIVATE EQUITY LIMITED ,"NA"
HOWDEN JOINERY GROUP PLC ,"NA"
INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A. ,"NA"
IBSTOCK PLC ,ibstockbrick
INTERMEDIATE CAPITAL GROUP PLC ,"NA"
IG GROUP HOLDINGS PLC ,"NA"
INTERCONTINENTAL HOTELS GROUP PLC ,IHGCorporate
INTEGRAFIN HOLDINGS PLC ,"NA"
3I GROUP PLC ,3iplc
IMPERIAL BRANDS PLC ,ImperialBrands
IMI PLC ,"NA"
INCHCAPE PLC ,tomeales_
INFORMA PLC ,InformaPLC
INTERNATIONAL PUBLIC PARTNERSHIPS LD ,"NA"
INVESTEC PLC ,"NA"
IP GROUP PLC ,MichaelInfante4
INTERTEK GROUP PLC ,Intertek_OCA
ITV PLC ,ITV
IWG PLC ,IWG_plc
JPMORGAN AMERICAN INVESTMENT TRUST PLC ,"NA"
JD SPORTS FASHION PLC ,jdsportsus
WETHERSPOON ( J.D.) PLC ,"NA"
JUST EAT PLC ,matbraddy
JUPITER EUROPEAN OPPORTUNITIES TRUST PLC ,"NA"
JPMORGAN JAPANESE INVESTMENT TRUST PLC ,"NA"
JPMORGAN INDIAN INVESTMENT TRUST PLC ,"NA"
JOHN LAING GROUP PLC ,"NA"
JOHNSON MATTHEY PLC ,Johnson_Matthey
JPMORGAN EMERGING MARKETS INVESTMENT TRUST PLC ,"NA"
JUPITER FUND MANAGEMENT PLC ,"NA"
KAZ MINERALS PLC ,"NA"
KINGFISHER PLC ,kingfisherplc
KAINOS GROUP PLC ,"NA"
LAND SECURITIES GROUP PLC ,"NA"
LEGAL & GENERAL GROUP PLC ,landg_uk
LLOYDS BANKING GROUP PLC ,LBGplc
LONDONMETRIC PROPERTY PLC ,"NA"
LANCASHIRE HOLDINGS LIMITED COM SHS USD0.50,"NA"
LONDON STOCK EXCHANGE GROUP PLC ,"NA"
LAW DEBENTURE CORPORATION PLC ,"NA"
MITCHELLS & BUTLERS PLC ,"NA"
MARSTON'S PLC ,MarstonsPLC
MICRO FOCUS INTERNATIONAL PLC ,MicroFocus
MCCARTHY & STONE PLC ,"NA"
MEDICLINIC INTERNATIONAL PLC ,"NA"
MORGAN ADVANCED MATERIALS PLC ,"NA"
MEGGITT PLC ,"NA"
MARKS AND SPENCER GROUP PLC ,"NA"
MONDI PLC ,"NA"
MONKS INVESTMENT TRUST PLC ,"NA"
MONEYSUPERMARKET.COM GROUP PLC ,MoneySupermkt
MERCANTILE INVESTMENT TRUST (THE) PLC ,"NA"
MELROSE INDUSTRIES PLC ,"NA"
MORRISON (WM) SUPERMARKETS PLC ,Morrisons
MARSHALLS PLC ,"NA"
MURRAY INTERNATIONAL TRUST PLC ,"NA"
NEXTENERGY SOLAR FUND LIMITED RED ,"NA"
NETWORK INTERNATIONAL HOLDINGS PLC ,"NA"
NATIONAL EXPRESS GROUP PLC ,"NA"
NATIONAL GRID PLC ,ngpartners_
NMC HEALTH PLC ,Xulahoo
NEWRIVER REIT PLC ,"NA"
NEXT PLC ,nextofficial
OCADO GROUP PLC ,"NA"
ONESAVINGS BANK PLC ,Andy_Golding
OXF,DavidDeutschOxf
PARAGON BANKING GROUP PLC ,"NA"
PAGEGROUP PLC ,"NA"
PAYPOINT PLC ,"NA"
POLAR CAPITAL TECHNOLOGY TRUST PLC ,"NA"
PETS AT HOME GROUP PLC ,"NA"
PETROFAC LIMITED ,bashaepcrecruit
PROVIDENT FINANCIAL PLC ,"NA"
PHOENIX GROUP HOLDINGS PLC ,"NA"
PRIMARY HEALTH PROPERTIES PLC ,PHPReit
PANTHEON INTERNATIONAL PLC ,"NA"
PERPETUAL INCOME AND GROWTH INVESTMENT TRUST PLC ,"NA"
POLYPIPE GROUP PLC ,"NA"
PLUS500 LTD ,"NA"
PREMIER OIL PLC ,PremierOilplc
PERSONAL ASSETS TRUST PLC ,"NA"
PENNON GROUP PLC ,PennonGroup
POLYMETAL INTERNATIONAL PLC ,"NA"
PPHE HOTEL GROUP LIMITED ,"NA"
PRUDENTIAL PLC ,prudentialplc
PERSHING SQUARE HOLDINGS LTD ,"NA"
PERSIMMON PLC ,"NA"
PEARSON PLC ,pearson
PLAYTECH PLC ,PlaytechPLC
PZ CUSSONS PLC ,"NA"
QUILTER PLC ,sketim
QINETIQ GROUP PLC ,"NA"
RATHBONE BROTHERS PLC ,Rathbones1742
RECKITT BENCKISER GROUP PLC ,discoverRB
ROYAL BANK OF SCOTLAND GROUP PLC ,RBS_Help
RIT CAPITAL PARTNERS PLC ,"NA"
ROYAL DUTCH SHELL PLC 'A' ,Shell
ROYAL DUTCH SHELL PLC 'B' ,"NA"
REDROW PLC ,RedrowHomes
RELX PLC ,arafernezian
RHI MAGNESITA N.V. ,"NA"
RIO TINTO PLC ,RioTinto
ROYAL MAIL PLC ,RoyalMail
RIGHTMOVE PLC ,rightmove
RANK GROUP PLC ,therankgroup
ROTORK PLC ,"NA"
ROLLS-ROYCE HOLDINGS PLC ,RollsRoyce
RSA INSURANCE GROUP PLC ,"NA"
RENISHAW PLC ,Amy_RenishawPLC
RESTAURANT GROUP PLC ,"NA"
RENTOKIL INITIAL PLC ,"NA"
SAFESTORE HOLDINGS PLC ,"NA"
SABRE INSURANCE GROUP PLC ,"NA"
SAINSBURY (J) PLC ,sainsburys
SCOTTISH INVESTMENT TRUST PLC ,ScotInvTrust
SOFTCAT PLC ,softcat
SCHRODER ASIAPACIFIC FUND PLC ,"NA"
SCHRODERS PLC VTG SHS ?1,"NA"
SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED ,"NA"
STAGECOACH GROUP PLC ,"NA"
SAGE GROUP PLC ,SageUSAmerica
SEGRO PLC ,SEGROplc
SHAFTESBURY PLC ,Shaftesburyplc
SIG PLC ,SIGplc
SMURFIT KAPPA GROUP PLC ,"NA"
STANDARD LIFE ABERDEEN PLC ,SLA_plc
SMITH (DS) PLC ,gregjD100
SMITHS GROUP PLC ,SmithsGroupplc
ST.MODWEN PROPERTIES PLC ,"NA"
SCOTTISH MORTGAGE INVESTMENT TRUST PLC ,"NA"
WH SMITH PLC ,WHSmith
SMITH & NEPHEW PLC ,SmithNephewPLC
SANNE GROUP PLC ,"NA"
SENIOR PLC 10P,"NA"
SOPHOS GROUP PLC ,"NA"
SPIRENT COMMUNICATIONS PLC ,"NA"
SPIRAX-SARCO ENGINEERING PLC ,"NA"
SERCO GROUP PLC ,"NA"
SSE PLC ,SSE
SMITHSON INVESTMENT TRUST PLC ,"NA"
SSP GROUP PLC ,"NA"
STANDARD CHARTERED PLC ,StanChart
ST. JAMES'S PLACE PLC ,"NA"
SAVILLS PLC ,Savills
SEVERN TRENT PLC ,"NA"
SPECTRIS PLC ,spectrisplc
SYNCONA LIMITED ,SynconaLtd
SYNTHOMER PLC ,Synthomer_Group
TALKTALK TELECOM GROUP PLC ,"NA"
TATE & LYLE PLC ,tateandlyleplc
TBC BANK GROUP PLC ,"NA"
TP ICAP PLC ,TPICAPplc
TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC ,"NA"
TELECOM PLUS PLC ,telecomplusplc
TI FLUID SYSTEMS PLC ,"NA"
TULLOW OIL PLC ,TullowOilplc
TEMPLE BAR INVESTMENT TRUST PLC ,"NA"
TRAVIS PERKINS PLC ,TP_plc
THE RENEWABLES INFRASTRUCTURE GROUP LIMITED ,"NA"
TR PROPERTY INVESTMENT TRUST PLC ,"NA"
TESCO PLC ,Tesco
